SchemaName,ProcName,CreateDate,ModifyDate,ParamCount,ReferencedInCode,SqlFile
dbo,CommandExecute,2018-04-17 21:04:36,2018-04-17 21:04:36,15,NO,sql/dbo.CommandExecute.sql
dbo,DatabaseIntegrityCheck,2018-04-17 21:05:59,2018-04-17 21:06:00,15,NO,sql/dbo.DatabaseIntegrityCheck.sql
dbo,IndexOptimize,2018-04-17 20:17:04,2018-04-17 21:04:44,27,NO,sql/dbo.IndexOptimize.sql
euroamer_admin_2008,Agencia_Eliminar,2013-12-24 08:50:57,2025-01-02 06:23:39,1,SI,sql/euroamer_admin_2008.Agencia_Eliminar.sql
euroamer_admin_2008,Agencia_Obtener,2017-03-25 18:41:08,2026-08-11 05:58:36,8,NO,sql/euroamer_admin_2008.Agencia_Obtener.sql
euroamer_admin_2008,Agencia_Obtener_nuevo,2026-08-11 06:05:17,2026-08-11 06:54:55,8,SI,sql/euroamer_admin_2008.Agencia_Obtener_nuevo.sql
euroamer_admin_2008,Agencia_Procesar,2017-03-25 18:41:08,2025-11-03 02:35:27,24,NO,sql/euroamer_admin_2008.Agencia_Procesar.sql
euroamer_admin_2008,Agencia_Procesar_nuevo,2026-08-10 08:50:06,2026-08-19 07:47:19,26,SI,sql/euroamer_admin_2008.Agencia_Procesar_nuevo.sql
euroamer_admin_2008,AgenciaApps_Obtener,2016-02-21 18:26:50,2016-03-15 18:49:43,5,NO,sql/euroamer_admin_2008.AgenciaApps_Obtener.sql
euroamer_admin_2008,AgenciaCobranaza_Reporte,2025-05-24 10:58:20,2025-07-08 05:44:34,4,SI,sql/euroamer_admin_2008.AgenciaCobranaza_Reporte.sql
euroamer_admin_2008,AgenciaCobranza_Detalle,2025-06-23 06:44:07,2025-07-08 05:39:58,4,SI,sql/euroamer_admin_2008.AgenciaCobranza_Detalle.sql
euroamer_admin_2008,AgenciaComision_Reporte,2025-05-24 11:01:57,2025-07-01 06:00:58,4,SI,sql/euroamer_admin_2008.AgenciaComision_Reporte.sql
euroamer_admin_2008,AgenciaDescuento_Reporte,2025-05-24 10:47:06,2025-07-01 03:58:42,4,SI,sql/euroamer_admin_2008.AgenciaDescuento_Reporte.sql
euroamer_admin_2008,AgenciaFactura_Eliminar,2025-05-13 07:59:44,2025-05-20 05:12:38,1,SI,sql/euroamer_admin_2008.AgenciaFactura_Eliminar.sql
euroamer_admin_2008,AgenciaFactura_Obtener,2025-05-12 06:40:34,2025-05-20 05:22:10,8,SI,sql/euroamer_admin_2008.AgenciaFactura_Obtener.sql
euroamer_admin_2008,AgenciaFactura_Procesar,2025-05-12 03:56:51,2025-05-20 07:36:38,11,SI,sql/euroamer_admin_2008.AgenciaFactura_Procesar.sql
euroamer_admin_2008,AgenciaPagos_Reporte,2025-05-24 10:55:48,2025-07-01 02:01:13,4,SI,sql/euroamer_admin_2008.AgenciaPagos_Reporte.sql
euroamer_admin_2008,AgenciaProducto_Eliminar,2025-04-15 03:26:19,2025-07-03 07:24:31,1,SI,sql/euroamer_admin_2008.AgenciaProducto_Eliminar.sql
euroamer_admin_2008,AgenciaProducto_Obtener,2025-04-15 03:23:33,2025-07-03 07:23:50,4,SI,sql/euroamer_admin_2008.AgenciaProducto_Obtener.sql
euroamer_admin_2008,AgenciaProducto_Procesar,2025-04-15 03:23:22,2025-07-03 07:22:38,8,SI,sql/euroamer_admin_2008.AgenciaProducto_Procesar.sql
euroamer_admin_2008,AgenciaUsuario_Eliminar,2013-12-24 08:50:57,2025-01-02 06:23:40,1,SI,sql/euroamer_admin_2008.AgenciaUsuario_Eliminar.sql
euroamer_admin_2008,AgenciaUsuario_Obtener,2013-12-24 08:50:57,2025-02-14 03:51:53,6,SI,sql/euroamer_admin_2008.AgenciaUsuario_Obtener.sql
euroamer_admin_2008,AgenciaUsuario_Procesar,2013-12-24 08:50:57,2025-07-08 07:20:15,20,SI,sql/euroamer_admin_2008.AgenciaUsuario_Procesar.sql
euroamer_admin_2008,AgenciaVenta_Obtener,2014-04-28 13:24:03,2024-07-27 14:42:06,1,SI,sql/euroamer_admin_2008.AgenciaVenta_Obtener.sql
euroamer_admin_2008,Asistencia_Procesar,2015-02-06 08:43:26,2015-03-25 09:52:03,6,NO,sql/euroamer_admin_2008.Asistencia_Procesar.sql
euroamer_admin_2008,Cliente_Procesar,2024-12-30 03:19:08,2024-12-30 03:19:08,3,NO,sql/euroamer_admin_2008.Cliente_Procesar.sql
euroamer_admin_2008,Cobrador_Eliminar,2015-10-22 07:59:41,2025-01-02 06:23:40,1,NO,sql/euroamer_admin_2008.Cobrador_Eliminar.sql
euroamer_admin_2008,Cobranza_Actualizar,2015-10-22 07:59:41,2026-02-11 01:46:06,16,SI,sql/euroamer_admin_2008.Cobranza_Actualizar.sql
euroamer_admin_2008,Cobranza_Eliminar,2015-10-22 15:18:24,2025-08-08 03:48:46,1,SI,sql/euroamer_admin_2008.Cobranza_Eliminar.sql
euroamer_admin_2008,Cobranza_Obtener,2015-10-19 04:28:39,2025-08-07 07:24:10,7,SI,sql/euroamer_admin_2008.Cobranza_Obtener.sql
euroamer_admin_2008,Cobranza_PagoEliminar,2025-03-19 07:15:20,2025-03-19 11:26:11,1,SI,sql/euroamer_admin_2008.Cobranza_PagoEliminar.sql
euroamer_admin_2008,Cobranza_PagoObtener,2025-03-19 07:54:17,2025-03-19 11:30:20,1,SI,sql/euroamer_admin_2008.Cobranza_PagoObtener.sql
euroamer_admin_2008,Cobranza_PagoProcesar,2025-03-17 02:30:07,2025-03-19 11:28:45,8,SI,sql/euroamer_admin_2008.Cobranza_PagoProcesar.sql
euroamer_admin_2008,Cobranza_PagoVerificarObtener,2025-03-25 06:21:46,2025-07-18 08:39:56,2,SI,sql/euroamer_admin_2008.Cobranza_PagoVerificarObtener.sql
euroamer_admin_2008,Cobranza_PagoVerificarProcesar,2025-03-25 06:22:02,2025-07-09 07:58:33,2,SI,sql/euroamer_admin_2008.Cobranza_PagoVerificarProcesar.sql
euroamer_admin_2008,Cobranza_Procesar,2018-08-31 10:39:29,2025-08-07 08:33:52,18,SI,sql/euroamer_admin_2008.Cobranza_Procesar.sql
euroamer_admin_2008,CodigoExterno_ValidaExistencia,2016-12-09 20:42:05,2025-04-07 08:46:28,1,SI,sql/euroamer_admin_2008.CodigoExterno_ValidaExistencia.sql
euroamer_admin_2008,Comision_Obtener,2025-07-09 08:43:02,2025-07-14 02:13:40,1,SI,sql/euroamer_admin_2008.Comision_Obtener.sql
euroamer_admin_2008,Correlativo_Generar,2013-12-24 08:50:57,2025-02-08 02:18:04,1,SI,sql/euroamer_admin_2008.Correlativo_Generar.sql
euroamer_admin_2008,Cotizador_Listado_Obtener,2018-10-04 12:41:48,2025-08-13 07:32:52,5,NO,sql/euroamer_admin_2008.Cotizador_Listado_Obtener.sql
euroamer_admin_2008,Cotizador_Listado_ObtenerN,2019-04-02 15:19:50,2019-09-10 10:05:12,5,NO,sql/euroamer_admin_2008.Cotizador_Listado_ObtenerN.sql
euroamer_admin_2008,Cotizador_Listado_ObtenerNuevo,2019-09-10 12:38:35,2026-03-25 08:21:39,6,NO,sql/euroamer_admin_2008.Cotizador_Listado_ObtenerNuevo.sql
euroamer_admin_2008,Cotizador_Listado_Producto,2025-08-13 07:31:41,2025-08-13 07:31:41,0,NO,sql/euroamer_admin_2008.Cotizador_Listado_Producto.sql
euroamer_admin_2008,Cotizador_Listado_ProductosNuevo,2021-12-23 09:59:25,2025-08-13 07:31:30,1,NO,sql/euroamer_admin_2008.Cotizador_Listado_ProductosNuevo.sql
euroamer_admin_2008,Cotizador_Listado_ProductoTarifa,2025-08-13 07:31:11,2025-08-13 07:31:11,0,NO,sql/euroamer_admin_2008.Cotizador_Listado_ProductoTarifa.sql
euroamer_admin_2008,Cotizador_Obtener,2025-10-10 05:21:03,2025-10-23 08:31:31,6,SI,sql/euroamer_admin_2008.Cotizador_Obtener.sql
euroamer_admin_2008,Cotizador_OrigenDestino_Obtener,2018-07-26 08:48:02,2025-10-06 08:15:02,1,SI,sql/euroamer_admin_2008.Cotizador_OrigenDestino_Obtener.sql
euroamer_admin_2008,Cotizador_ProductoCobertura_Consulta,2025-08-13 07:29:23,2025-08-13 07:29:23,6,NO,sql/euroamer_admin_2008.Cotizador_ProductoCobertura_Consulta.sql
euroamer_admin_2008,Cotizador_ProductoCobertura_Consulta2,2025-08-13 07:29:13,2025-08-13 07:29:13,5,NO,sql/euroamer_admin_2008.Cotizador_ProductoCobertura_Consulta2.sql
euroamer_admin_2008,Cotizador_ProductoCobertura_Procesar,2025-08-13 07:29:03,2025-08-13 07:29:03,2,NO,sql/euroamer_admin_2008.Cotizador_ProductoCobertura_Procesar.sql
euroamer_admin_2008,Cotizador_ProductoTarifa_Procesar,2025-08-13 07:28:52,2025-08-13 07:28:52,3,NO,sql/euroamer_admin_2008.Cotizador_ProductoTarifa_Procesar.sql
